strategy,accuracy,precision,recall,f1_score,roc_auc,pr_auc
uniform,0.4868701206529453,0.2524822695035461,0.47593582887700536,0.329935125115848,0.5,0.2654364797728886
stratified,0.6217175301632364,0.2891246684350133,0.2914438502673797,0.29027962716378164,0.5162533260998735,0.2723402566824383
most_frequent,0.7345635202271115,0.0,0.0,0.0,0.5,0.2654364797728886
